,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
188,188,9.0,0.9819999933242798,"candy, game, time, get, , move, suggestion, player, life, bank",5239963436,com.midasplayer.apps.candycrushsaga
189,189,9.0,0.8047000169754028,"candy, game, time, get, , move, suggestion, player, life, bank",5239450033,com.midasplayer.apps.candycrushsaga
190,190,5.0,0.6395999789237976,"level, game, app, reset, longer, money, life, king, deleting, harder",5239208377,com.midasplayer.apps.candycrushsaga
191,191,7.0,0.8654000163078308,"booster, game, life, get, move, level, without, exit, year, done",5239148120,com.midasplayer.apps.candycrushsaga
192,192,2.0,0.9182000160217285,"game, level, candy, reset, money, get, booster, life, year, back",5239106070,com.midasplayer.apps.candycrushsaga
193,193,0.0,0.573199987411499,"update, , new, back, game, level, bring, board, reset, gold",5239022957,com.midasplayer.apps.candycrushsaga
194,194,2.0,0.6111000180244446,"game, level, candy, reset, money, get, booster, life, year, back",5238945997,com.midasplayer.apps.candycrushsaga
195,195,4.0,0.6998000144958496,"ad, game, many, level, , every, way, second, too, middle",5238840928,com.midasplayer.apps.candycrushsaga
196,196,9.0,0.5752000212669373,"candy, game, time, get, , move, suggestion, player, life, bank",5238755620,com.midasplayer.apps.candycrushsaga
197,197,1.0,0.8637999892234802,"game, add, , many, level, really, ever, way, time, much",5238745157,com.midasplayer.apps.candycrushsaga
198,198,9.0,0.7749999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5238736398,com.midasplayer.apps.candycrushsaga
199,199,5.0,0.6456999778747559,"level, game, app, reset, longer, money, life, king, deleting, harder",5238722393,com.midasplayer.apps.candycrushsaga
200,200,2.0,0.7419999837875366,"game, level, candy, reset, money, get, booster, life, year, back",5238634017,com.midasplayer.apps.candycrushsaga
201,201,6.0,0.7508999705314636,"game, level, ad, get, middle, , time, update, every, make",5238605513,com.midasplayer.apps.candycrushsaga
202,202,0.0,0.5166000127792358,"update, , new, back, game, level, bring, board, reset, gold",5238526531,com.midasplayer.apps.candycrushsaga
203,203,2.0,0.9609000086784363,"game, level, candy, reset, money, get, booster, life, year, back",5238420532,com.midasplayer.apps.candycrushsaga
204,204,8.0,0.5615000128746033,"game, life, level, update, buy, u, get, , let, got",5238375455,com.midasplayer.apps.candycrushsaga
205,205,8.0,0.5715000033378601,"game, life, level, update, buy, u, get, , let, got",5238365094,com.midasplayer.apps.candycrushsaga
206,206,0.0,0.925000011920929,"update, , new, back, game, level, bring, board, reset, gold",5238359499,com.midasplayer.apps.candycrushsaga
207,207,2.0,0.6200000047683716,"game, level, candy, reset, money, get, booster, life, year, back",5238299539,com.midasplayer.apps.candycrushsaga
208,208,8.0,0.925000011920929,"game, life, level, update, buy, u, get, , let, got",5238168611,com.midasplayer.apps.candycrushsaga
209,209,5.0,0.5304999947547913,"level, game, app, reset, longer, money, life, king, deleting, harder",5238165429,com.midasplayer.apps.candycrushsaga
210,210,1.0,0.5329999923706055,"game, add, , many, level, really, ever, way, time, much",5238114481,com.midasplayer.apps.candycrushsaga
211,211,2.0,0.5054000020027161,"game, level, candy, reset, money, get, booster, life, year, back",5238109957,com.midasplayer.apps.candycrushsaga
212,212,5.0,0.9743000268936157,"level, game, app, reset, longer, money, life, king, deleting, harder",5238099612,com.midasplayer.apps.candycrushsaga
213,213,0.0,0.649399995803833,"update, , new, back, game, level, bring, board, reset, gold",5238067125,com.midasplayer.apps.candycrushsaga
214,214,7.0,0.8999999761581421,"booster, game, life, get, move, level, without, exit, year, done",5237969856,com.midasplayer.apps.candycrushsaga
215,215,0.0,0.9549999833106995,"update, , new, back, game, level, bring, board, reset, gold",5237897892,com.midasplayer.apps.candycrushsaga
216,216,2.0,0.6998999714851379,"game, level, candy, reset, money, get, booster, life, year, back",5237812496,com.midasplayer.apps.candycrushsaga
217,217,0.0,0.9399999976158142,"update, , new, back, game, level, bring, board, reset, gold",5237810983,com.midasplayer.apps.candycrushsaga
218,218,8.0,0.983299970626831,"game, life, level, update, buy, u, get, , let, got",5237798110,com.midasplayer.apps.candycrushsaga
219,219,5.0,0.9710000157356262,"level, game, app, reset, longer, money, life, king, deleting, harder",5237791369,com.midasplayer.apps.candycrushsaga
220,220,7.0,0.9735000133514404,"booster, game, life, get, move, level, without, exit, year, done",5237778984,com.midasplayer.apps.candycrushsaga
221,221,2.0,0.949999988079071,"game, level, candy, reset, money, get, booster, life, year, back",5237694666,com.midasplayer.apps.candycrushsaga
222,222,2.0,0.6980999708175659,"game, level, candy, reset, money, get, booster, life, year, back",5237601902,com.midasplayer.apps.candycrushsaga
223,223,0.0,0.935699999332428,"update, , new, back, game, level, bring, board, reset, gold",5237587600,com.midasplayer.apps.candycrushsaga
224,224,1.0,0.8500000238418579,"game, add, , many, level, really, ever, way, time, much",5237567785,com.midasplayer.apps.candycrushsaga
225,225,2.0,0.4180999994277954,"game, level, candy, reset, money, get, booster, life, year, back",5237538407,com.midasplayer.apps.candycrushsaga
226,226,0.0,0.949999988079071,"update, , new, back, game, level, bring, board, reset, gold",5237524759,com.midasplayer.apps.candycrushsaga
227,227,2.0,0.3955000042915344,"game, level, candy, reset, money, get, booster, life, year, back",5237441766,com.midasplayer.apps.candycrushsaga
228,228,2.0,0.9591000080108643,"game, level, candy, reset, money, get, booster, life, year, back",5237163951,com.midasplayer.apps.candycrushsaga
229,229,3.0,0.8999999761581421,"commercial, addictive, review, push, em, all, game, ’, say, start",5237158694,com.midasplayer.apps.candycrushsaga
230,230,2.0,0.983299970626831,"game, level, candy, reset, money, get, booster, life, year, back",5237089551,com.midasplayer.apps.candycrushsaga
231,231,0.0,0.3725000023841858,"update, , new, back, game, level, bring, board, reset, gold",5237087092,com.midasplayer.apps.candycrushsaga
232,232,1.0,0.7749999761581421,"game, add, , many, level, really, ever, way, time, much",5237020598,com.midasplayer.apps.candycrushsaga
